name;short_name;return;std_dev
III LN Equity;III ;0,144519842;0,289414687
3IN LN Equity  ;3IN ;0,073115918;0,133366548
888 LN Equity            ;888 ;0,091936005;0,516835214
ASL LN Equity;ASL ;0,081143917;0,280811895
AGK LN Equity;AGK ;-0,040314944;0,387002318
ASHM LN Equity ;ASHM;0,061916233;0,347156367
AHT LN Equity    ;AHT ;0,402692324;0,424251541
ADM LN Equity;ADM ;0,090113372;0,240403473
AGT LN Equity ;AGT ;0,071928069;0,166790988
ADIG LN Equity;ADIG;-0,005495129;0,143389096
AAL LN Equity  ;AAL ;0,003964764;0,510610917
ANTO LN Equity      ;ANTO;0,046287626;0,424770285
ABF LN Equity    ;ABF ;0,090078888;0,290941741
AZN LN Equity  ;AZN ;0,088158706;0,212832892
AVV LN Equity   ;AVV ;0,119431232;0,388419655
AV/ LN Equity;AV/ ;-0,016159864;0,291151051
BA/ LN Equity  ;BA/ ;0,030264383;0,245870789
BARC LN Equity     ;BARC;-0,04762299;0,416557692
BHGG LN Equity ;BHGG;0,050434547;0,103024856
BDEV LN Equity ;BDEV;0,170893275;0,435369814
BCPT LN Equity;BCPT;-0,009309546;0,211290016
BKG LN Equity ;BKG ;0,177056731;0,278652727
BHMG LN Equity  ;BHMG;0,06363323;0,118305194
BHP LN Equity;BHP ;0,009282678;0,330069001
BEMO LN Equity ;BEMO;-0,007433862;0,282291199
BAG LN Equity   ;BAG ;0,063876722;0,254484343
BNKR LN Equity   ;BNKR;0,110937157;0,132004717
BAB LN Equity     ;BAB ;-0,050902483;0,340504965
BWY LN Equity ;BWY ;0,134947834;0,392722027
BP/ LN Equity       ;BP/ ;-0,073583485;0,320299686
BATS LN Equity ;BATS;0,024892893;0,247112926
BLND LN Equity ;BLND;0,010119435;0,290888103
BYG LN Equity       ;BYG ;0,121087048;0,208049482
HTCF LN Equity   ;HTCF;0,036348807;0,088650686
BRW LN Equity   ;BRW ;0,075636355;0,297129644
BRWM LN Equity ;BRWM;0,001773445;0,303415417
BT/A LN Equity ;BT/A;-0,003591598;0,286001039
BVIC LN Equity ;BVIC;0,06201821;0,245721615
BOY LN Equity;BOY ;0,142753271;0,377686618
BWNG LN Equity;BWNG;-0,113075318;0,924826286
BGEU LN Equity     ;BGEU;0,097385304;0,197789486
BNZL LN Equity         ;BNZL;0,133091096;0,190461608
BRBY LN Equity  ;BRBY;0,102784567;0,363975467
CBG LN Equity    ;CBG ;0,065341883;0,232396531
CHG LN Equity    ;CHG ;-0,060657745;0,381816849
CPG LN Equity    ;CPG ;0,10173899;0,234009798
CRH LN Equity ;CRH ;0,066761791;0,262935454
CRDA LN Equity  ;CRDA;0,213627229;0,229522632
CLDN LN Equity;CLDN;0,057769284;0,16871127
CWK LN Equity  ;CWK ;0,154142345;0,230710458
CTY LN Equity;CTY ;0,041978271;0,137869851
DCC LN Equity;DCC ;0,107198382;0,251003178
DMGT LN Equity   ;DMGT;0,049312305;0,285864137
DLAR LN Equity ;DLAR;-0,140973512;0,808549705
DPH LN Equity;DPH ;0,208976775;0,268738858
DLN LN Equity;DLN ;0,081973084;0,239580029
DOM LN Equity;DOM ;0,104949258;0,32632317
DIG LN Equity    ;DIG ;0,046430747;0,147975655
DTY LN Equity;DTY ;-0,027194004;0,606614299
DNLM LN Equity;DNLM;0,117958114;0,392911394
DGE LN Equity   ;DGE ;0,096286641;0,162684462
VTY LN Equity          ;VTY ;0,088464042;0,495927427
SIG LN Equity            ;SIG ;0,092245712;0,386225846
STAN LN Equity  ;STAN;-0,091660818;0,344010282
CCC LN Equity  ;CCC ;0,187710729;0,327629182
EZJ LN Equity;EZJ ;0,062774783;0,510251065
DGN LN Equity ;DGN ;0,102984365;0,176731755
EDIN LN Equity  ;EDIN;0,034383876;0,158084062
ELTA LN Equity ;ELTA;-0,131524829;0,618366361
ECM LN Equity;ECM ;0,156680885;0,317929416
FXPO LN Equity ;FXPO;0,029981449;0,800817498
FEV LN Equity;FEV ;0,098359812;0,16741128
FSV LN Equity;FSV ;0,080476495;0,210413127
ESNT LN Equity ;ESNT;0,051270911;0,400862916
WWH LN Equity  ;WWH ;0,177215878;0,178136878
FGP LN Equity;FGP ;-0,120633617;0,607854484
FRAS LN Equity ;FRAS;0,152254938;0,552113721
FSJ LN Equity;FSJ ;0,068380612;0,334649906
GAW LN Equity   ;GAW ;0,363506022;0,425477675
GNS LN Equity   ;GNS ;0,18139826;0,258712448
GSK LN Equity     ;GSK ;0,009034443;0,179570637
GOG LN Equity   ;GOG ;-0,028573134;0,550876505
GPOR LN Equity  ;GPOR;0,062824608;0,223755232
GRG LN Equity          ;GRG ;0,142644502;0,361909229
HFD LN Equity     ;HFD ;-0,031858463;0,536595661
HLMA LN Equity        ;HLMA;0,240221942;0,205088802
HSD LN Equity    ;HSD ;-0,115356731;0,341050609
HL/ LN Equity   ;HL/ ;0,163484603;0,373870046
HAS LN Equity  ;HAS ;0,023644783;0,356186817
HLCL LN Equity      ;HLCL;0,016022426;0,308698096
HIK LN Equity    ;HIK ;0,15001298;0,376098099
HSX LN Equity  ;HSX ;0,066580642;0,262977788
HOC LN Equity;HOC ;-0,01284581;0,783218706
HSV LN Equity   ;HSV ;0,103061197;0,407047498
HTG LN Equity;HTG ;-0,078441979;0,568655627
IGG LN Equity;IGG ;0,071789673;0,311497639
ITV LN Equity     ;ITV ;0,060059722;0,409542808
IEM LN Equity  ;IEM ;0,127950001;0,172930494
INCH LN Equity    ;INCH;0,083693537;0,358381944
INF LN Equity  ;INF ;0,055700122;0,303694384
ICP LN Equity     ;ICP ;0,15663217;0,409423274
IPF LN Equity;IPF ;-0,086949492;0,682031977
INVP LN Equity;INVP;-0,05363536;0,400526786
JKX LN Equity       ;JKX ;-0,178342548;1,00194342
JAM LN Equity;JAM ;0,139793791;0,161690038
JAGI LN Equity    ;JAGI;0,09664675;0,192042551
JMG LN Equity     ;JMG ;0,101273334;0,173942877
JETI LN Equity      ;JETI;0,045101035;0,213507954
MRC LN Equity ;MRC ;0,101673321;0,213866576
JII LN Equity   ;JII ;0,060614801;0,278917842
JFJ LN Equity   ;JFJ ;0,151984582;0,200152569
KLR LN Equity     ;KLR ;0,010170528;0,485381153
KIE LN Equity ;KIE ;-0,188244785;0,755527988
LWDB LN Equity ;LWDB;0,08901359;0,176099902
LSE LN Equity       ;LSE ;0,283443901;0,231181147
MTO LN Equity        ;MTO ;-0,092293997;0,46880179
MARS LN Equity       ;MARS;-0,013816386;0,463552692
MCB LN Equity    ;MCB ;-0,085673226;0,462821631
MGGT LN Equity;MGGT;0,05526924;0,392703733
MRO LN Equity;MRO ;-0,010340279;1,046344155
MRCH LN Equity  ;MRCH;0,028445639;0,182784185
PAGE LN Equity;PAGE;0,013397668;0,326755677
MCRO LN Equity ;MCRO;-0,073133801;0,696162608
MCK NZ Equity   ;MCK ;0,188795773;0,368742868
MAB LN Equity           ;MAB ;-0,013022932;0,431041063
MNDI LN Equity            ;MNDI;0,154889721;0,298801276
MONY LN Equity ;MONY;0,123633217;0,306912862
MNKS LN Equity     ;MNKS;0,15780343;0,154676014
MGAM LN Equity ;MGAM;0,061025295;0,362878922
MGNS LN Equity  ;MGNS;0,100698625;0,364802572
MTC LN Equity             ;MTC ;-0,281583599;0,967044342
MUT LN Equity ;MUT ;0,044918433;0,138994595
MYI LN Equity         ;MYI ;0,039026104;0,174353219
NEX LN Equity          ;NEX ;0,012228913;0,432683915
PZC LN Equity;PZC ;-0,006141572;0,256901215
PAY LN Equity;PAY ;0,045587688;0,370757482
POG LN Equity ;POG ;-0,188850574;0,718923153
PCT LN Equity         ;PCT ;0,23082333;0,203222386
PFD LN Equity  ;PFD ;-0,066022246;1,056646645
PMO LN Equity ;PMO ;-0,210857071;1,343101543
PFG LN Equity    ;PFG ;-0,070955057;0,600887399
QQ/ LN Equity    ;QQ/ ;0,083016119;0,255668792
RCP LN Equity;RCP ;0,069911995;0,119267503
RPS LN Equity  ;RPS ;-0,091687605;0,796130263
RDSA LN Equity ;RDSA;-0,026629873;0,248979421
REL LN Equity           ;REL ;0,124068817;0,189932573
RR/ LN Equity   ;RR/ ;-0,035262181;0,496807715
RIO LN Equity  ;RIO ;0,053427123;0,327779932
RAT LN Equity              ;RAT ;0,058254599;0,216431411
RDW LN Equity ;RDW ;0,139399565;0,461469801
RB/ LN Equity   ;RB/ ;0,068237217;0,181139403
RSW LN Equity     ;RSW ;0,229740928;0,381606666
RTO LN Equity       ;RTO ;0,145377047;0,24947749
RTN LN Equity    ;RTN ;-0,07416853;0,622607351
RMV LN Equity;RMV ;0,25848077;0,27782428
ROR LN Equity     ;ROR ;0,088029368;0,288210237
SDL LN Equity    ;SDL ;0,027792707;0,448294549
SSE LN Equity     ;SSE ;0,0230208;0,174824712
SVS LN Equity       ;SVS ;0,106342448;0,316535251
SMIN LN Equity          ;SMIN;0,03812504;0,211577743
SMT LN Equity   ;SMT ;0,25717978;0,196743795
SKG LN Equity     ;SKG ;0,178401551;0,411922005
SGRO LN Equity  ;SGRO;0,111041011;0,198979259
SLA LN Equity ;SLA ;0,002579207;0,297668907
SHB LN Equity;SHB ;0,039561166;0,194501272
SMDS LN Equity  ;SMDS;0,166237293;0,330007848
PHAR LN Equity ;PHAR;-0,238075945;0,659873489
SXS LN Equity     ;SXS ;0,126867714;0,302434901
SVT LN Equity        ;SVT ;0,067232213;0,185256346
SGE LN Equity       ;SGE ;0,080876839;0,221088893
SPX LN Equity ;SPX ;0,21486021;0,215484206
SDR LN Equity    ;SDR ;0,094438298;0,284352104
SPT LN Equity    ;SPT ;0,083138788;0,346145882
STJ LN Equity           ;STJ ;0,148092548;0,306242737
SGC LN Equity     ;SGC ;-0,094876195;0,423454449
STEM LN Equity   ;STEM;-0,002064645;0,430117978
STOB LN Equity ;STOB;-0,131212839;0,447530389
TATE LN Equity     ;TATE;0,049906317;0,237073366
TW/ LN Equity    ;TW/ ;0,142566661;0,46714319
TEP LN Equity  ;TEP ;0,154155168;0,323506608
TMPL LN Equity      ;TMPL;0,024916043;0,237970452
TSCO LN Equity;TSCO;-0,054289247;0,25716383
TEM LN Equity    ;TEM ;0,063421505;0,198188229
TPK LN Equity  ;TPK ;0,056795243;0,385982619
TRY LN Equity    ;TRY ;0,097082785;0,212434678
UKCM LN Equity;UKCM;-0,01209178;0,149257837
UU/ LN Equity        ;UU/ ;0,047994689;0,190856229
ULVR LN Equity  ;ULVR;0,079260586;0,172347222
ULE LN Equity    ;ULE ;0,045784539;0,280956206
VEC LN Equity  ;VEC ;0,047597647;0,433120006
VOD LN Equity;VOD ;-0,029475918;0,2485755
VCT LN Equity ;VCT ;0,101571338;0,305086317
WEIR LN Equity ;WEIR;0,090071186;0,443388417
JDW LN Equity    ;JDW ;0,085484184;0,329077234
WMH LN Equity   ;WMH ;0,035068995;0,600300807
WTAN LN Equity  ;WTAN;0,094632132;0,160929741
WG/ LN Equity   ;WG/ ;-0,031190056;0,554469244
WPP LN Equity            ;WPP ;0,029652579;0,291971746
WTB LN Equity      ;WTB ;0,089959606;0,29484392
